mood,title,affiliate_url,image_url
Stressed,Herbal Tea,,
Stressed,Breathing Timer,,
Stressed,Guided Meditation,,
Stressed,Aromatherapy Oil,,
Stressed,Weighted Blanket,,
Stressed,Stress Journal,,
Stressed,Noise-Reducing Earbuds,,
Stressed,Body Scan Audio,,
Stressed,Candle Set,,
Stressed,Sleep Mask,,
Stressed,Desk Zen Kit,,
Stressed,Calm Focus Music,,
Stressed,Neck Massager,,
Stressed,Room Spray,,
Stressed,Gentle Yoga Flow,,
Stressed,Mindful Coloring Book,,
Stressed,Stress Ball,,
Stressed,Short Walk Plan,,
Stressed,Bath Salts,,
Stressed,Relaxation Soundscape,,
Stressed,Herbal Tea — Chamomile,,
Stressed,Herbal Tea — Lavender,,
Stressed,Herbal Tea — Peppermint,,
Stressed,Herbal Tea — 5-minute,,
Stressed,Herbal Tea — 10-minute,,
Stressed,Herbal Tea — Beginner-friendly,,
Stressed,Herbal Tea — Travel size,,
Stressed,Herbal Tea — Budget pick,,
Stressed,Herbal Tea — Premium pick,,
Stressed,Herbal Tea — Night routine,,
Stressed,Breathing Timer — Chamomile,,
Stressed,Breathing Timer — Lavender,,
Stressed,Breathing Timer — Peppermint,,
Stressed,Breathing Timer — 5-minute,,
Stressed,Breathing Timer — 10-minute,,
Stressed,Breathing Timer — Beginner-friendly,,
Stressed,Breathing Timer — Travel size,,
Stressed,Breathing Timer — Budget pick,,
Stressed,Breathing Timer — Premium pick,,
Stressed,Breathing Timer — Night routine,,
Stressed,Guided Meditation — Chamomile,,
Stressed,Guided Meditation — Lavender,,
Stressed,Guided Meditation — Peppermint,,
Stressed,Guided Meditation — 5-minute,,
Stressed,Guided Meditation — 10-minute,,
Stressed,Guided Meditation — Beginner-friendly,,
Stressed,Guided Meditation — Travel size,,
Stressed,Guided Meditation — Budget pick,,
Stressed,Guided Meditation — Premium pick,,
Stressed,Guided Meditation — Night routine,,
Happy,Instant Camera,,
Happy,Mini Photo Printer,,
Happy,Dance Playlist,,
Happy,Fun Card Game,,
Happy,Mocktail Kit,,
Happy,Gratitude Journal,,
Happy,Mini Adventure List,,
Happy,Comedy Special,,
Happy,Party Lights,,
Happy,Photo Memory Book,,
Happy,Friendship Activity Deck,,
Happy,Cook-Together Recipe Kit,,
Happy,Portable Speaker,,
Happy,Craft Night Kit,,
Happy,Movie Night Box,,
Happy,Board Game Pick,,
Happy,Funny Podcast,,
Happy,Surprise Gift Idea,,
Happy,Weekend Plan Generator,,
Happy,Music Discovery Pack,,
Happy,Instant Camera — For couples,,
Happy,Instant Camera — For friends,,
Happy,Instant Camera — Solo,,
Happy,Instant Camera — Under $20,,
Happy,Instant Camera — Premium,,
Happy,Instant Camera — Outdoor,,
Happy,Instant Camera — Indoor,,
Happy,Instant Camera — 15-minute,,
Happy,Instant Camera — 30-minute,,
Happy,Instant Camera — Instant,,
Happy,Mini Photo Printer — For couples,,
Happy,Mini Photo Printer — For friends,,
Happy,Mini Photo Printer — Solo,,
Happy,Mini Photo Printer — Under $20,,
Happy,Mini Photo Printer — Premium,,
Happy,Mini Photo Printer — Outdoor,,
Happy,Mini Photo Printer — Indoor,,
Happy,Mini Photo Printer — 15-minute,,
Happy,Mini Photo Printer — 30-minute,,
Happy,Mini Photo Printer — Instant,,
Happy,Dance Playlist — For couples,,
Happy,Dance Playlist — For friends,,
Happy,Dance Playlist — Solo,,
Happy,Dance Playlist — Under $20,,
Happy,Dance Playlist — Premium,,
Happy,Dance Playlist — Outdoor,,
Happy,Dance Playlist — Indoor,,
Happy,Dance Playlist — 15-minute,,
Happy,Dance Playlist — 30-minute,,
Happy,Dance Playlist — Instant,,
Energetic,HIIT Timer,,
Energetic,Jump Rope,,
Energetic,Resistance Bands,,
Energetic,Running Playlist,,
Energetic,Electrolyte Mix,,
Energetic,Protein Snack Box,,
Energetic,Mobility Routine,,
Energetic,Push-Up Challenge,,
Energetic,Dance Cardio,,
Energetic,Boxing Workout,,
Energetic,Cycling Plan,,
Energetic,Stretch + Strength Split,,
Energetic,Step Goal Plan,,
Energetic,Interval Training Guide,,
Energetic,5K Training Plan,,
Energetic,Core Routine,,
Energetic,Home Workout Set,,
Energetic,Pre-Workout Warmup,,
Energetic,Hydration Tracker,,
Energetic,Fitness Habit Tracker,,
Energetic,HIIT Timer — 10-minute,,
Energetic,HIIT Timer — 20-minute,,
Energetic,HIIT Timer — Beginner,,
Energetic,HIIT Timer — Intermediate,,
Energetic,HIIT Timer — No equipment,,
Energetic,HIIT Timer — Home,,
Energetic,HIIT Timer — Gym,,
Energetic,HIIT Timer — Low impact,,
Energetic,HIIT Timer — High intensity,,
Energetic,HIIT Timer — Recovery-focused,,
Energetic,Jump Rope — 10-minute,,
Energetic,Jump Rope — 20-minute,,
Energetic,Jump Rope — Beginner,,
Energetic,Jump Rope — Intermediate,,
Energetic,Jump Rope — No equipment,,
Energetic,Jump Rope — Home,,
Energetic,Jump Rope — Gym,,
Energetic,Jump Rope — Low impact,,
Energetic,Jump Rope — High intensity,,
Energetic,Jump Rope — Recovery-focused,,
Energetic,Resistance Bands — 10-minute,,
Energetic,Resistance Bands — 20-minute,,
Energetic,Resistance Bands — Beginner,,
Energetic,Resistance Bands — Intermediate,,
Energetic,Resistance Bands — No equipment,,
Energetic,Resistance Bands — Home,,
Energetic,Resistance Bands — Gym,,
Energetic,Resistance Bands — Low impact,,
Energetic,Resistance Bands — High intensity,,
Energetic,Resistance Bands — Recovery-focused,,
Creative,Writing Prompts,,
Creative,Sketch Set,,
Creative,Watercolor Kit,,
Creative,AI Art Tool,,
Creative,Design Micro-Course,,
Creative,Photo Challenge List,,
Creative,Storytelling Template,,
Creative,Idea Journal,,
Creative,Collage Kit,,
